GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.infrastructure.batch,ExternalSkillBatchLoader.new ItemReader() {...},43,0,4,0,10,0,4,0,2,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.infrastructure.batch,ExternalSkillBatchLoader.new SkipListener() {...},23,0,0,0,7,0,4,0,4,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.infrastructure.batch,ExternalSkillBatchLoader,274,0,4,0,85,0,19,0,17,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.dependency.domain.service,DependencyCheckerImpl,251,0,14,0,53,0,12,0,5,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.infrastructure.adapter.rest,TokenResponse,15,0,0,0,1,0,1,0,1,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.infrastructure.adapter.rest,RomeAdditionalSkillApiRest,158,0,2,0,43,0,10,0,9,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.rome.infrastructure.adapter.repository,Rome4VersionDatabaseRepository,14,0,0,0,4,0,2,0,2,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.casol.infrastructure.service,CasolCsvReaderConfig,7,0,0,0,2,0,2,0,2,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.casol.infrastructure.service,CsvCompetenceReader,63,0,2,0,12,0,7,0,6,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externalskill.casol.infrastructure.service,CasolServiceConfig,10,0,0,0,1,0,1,0,1,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externaluser.domain.service,ExternalUserServiceImpl,18,39,0,2,5,9,1,6,1,5
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.interoperability.externaluser.infrastructure.adapter.repository,ExternalUserDatabaseRepository,18,0,0,0,5,0,2,0,2,0
avenirs-portfolio-interoperability,fr.avenirsesr.portfolio.common.validation.domain.utils,FieldValidationUtils,100,0,24,0,29,0,17,0,5,0
